Condition2,TrainingTalkerID,TestTalkerID,SentenceID,Keyword,IsCorrect,VariabilityAcrossTime_xie21_HuBERT_T24_max_0_0_8_2.9_6249.4,ParticipantID,Trial,VariabilityAcrossTime_xie21_HuBERT_T24_max_1_0_8_2.9_6249.4,VariabilityAcrossTime_xie21_HuBERT_T24_max_0_1_8_2.9_6249.4,VariabilityAcrossTime_xie21_HuBERT_T24_max_1_1_4_3.7_12189.7,VariabilityAcrossTime_xie21_HuBERT_T24_mean_0_0_8_2.7_6249.6,VariabilityAcrossTime_xie21_HuBERT_T24_mean_1_0_8_2.7_6249.6,VariabilityAcrossTime_xie21_HuBERT_T24_mean_0_1_8_2.7_6249.6,VariabilityAcrossTime_xie21_HuBERT_T24_mean_1_1_4_4.3_12186.4,VariabilityAcrossTime_xie21_HuBERT_CNN7_max_0_0_4_0.4_6258.6,VariabilityAcrossTime_xie21_HuBERT_CNN7_max_1_0_4_0.4_6258.6,VariabilityAcrossTime_xie21_HuBERT_CNN7_max_0_1_4_0.4_6258.6,VariabilityAcrossTime_xie21_HuBERT_CNN7_max_1_1_0.5_-0.7_12210.9,VariabilityAcrossTime_xie21_HuBERT_CNN7_mean_0_0_0.5_0.4_6260.5,VariabilityAcrossTime_xie21_HuBERT_CNN7_mean_1_0_0.5_0.4_6260.5,VariabilityAcrossTime_xie21_HuBERT_CNN7_mean_0_1_0.5_0.4_6260.5,VariabilityAcrossTime_xie21_HuBERT_CNN7_mean_1_1_0.5_0.4_12210.2
Single talker,CMN_M_037,CMN_M_032,HT1_S010,fast,1,1.355103850364685,0f6c1690a62d8e75110c59f42d20e042,9,1.355103850364685,1.355103850364685,1.172691,1.355103850364685,1.355103850364685,1.355103850364685,1.172691,0.8238253593444824,0.8238253593444824,0.8238253593444824,0.55725646,0.5572564601898193,0.5572564601898193,0.5572564601898193,0.55725646
Control,"ENG_M_131, ENG_M_133, ENG_M_070, ENG_M_055, ENG_M_066",CMN_M_037,HT1_S010,car,1,,5466f612909a9cdc90cde9bf6a120c31,8,,,0.950893,,,,0.9336659,,,,0.8220329,,,,0.77629936
Control,"ENG_M_131, ENG_M_133, ENG_M_070, ENG_M_055, ENG_M_066",CMN_M_037,HT1_S010,going,1,,5466f612909a9cdc90cde9bf6a120c31,8,,,1.0943538,,,,1.0736793,,,,0.86987543,,,,0.68096495
Control,"ENG_M_131, ENG_M_133, ENG_M_070, ENG_M_055, ENG_M_066",CMN_M_037,HT1_S010,too,0,,5466f612909a9cdc90cde9bf6a120c31,8,,,0.8715501,,,,0.7436229,,,,0.8416698,,,,0.7471795
Control,"ENG_M_131, ENG_M_133, ENG_M_070, ENG_M_055, ENG_M_066",CMN_M_037,HT1_S010,fast,0,,5466f612909a9cdc90cde9bf6a120c31,8,,,1.1855655,,,,1.1635288,,,,0.6531876,,,,0.6355564
Talker-specific,CMN_M_035,CMN_M_035,HT1_S010,car,1,,bddd924ed2003b09fac1f71677f8b0d1,16,,,0.92835647,,,,0.92835647,,,,0.59922224,,,,0.59922224
Talker-specific,CMN_M_035,CMN_M_035,HT1_S010,going,1,,bddd924ed2003b09fac1f71677f8b0d1,16,,,1.0743917,,,,1.0743917,,,,0.6902128,,,,0.6902128
Talker-specific,CMN_M_035,CMN_M_035,HT1_S010,too,1,,bddd924ed2003b09fac1f71677f8b0d1,16,,,0.8328988,,,,0.8328988,,,,0.69239455,,,,0.69239455
Talker-specific,CMN_M_035,CMN_M_035,HT1_S010,fast,1,,bddd924ed2003b09fac1f71677f8b0d1,16,,,1.1434844,,,,1.1434844,,,,0.5711065,,,,0.5711065
Talker-specific,CMN_M_032,CMN_M_032,HT1_S010,car,1,,42bc7968726d6b9bc8522357d33776ff,11,,,0.9558878,,,,0.9558878,,,,0.8056617,,,,0.8056617
Talker-specific,CMN_M_032,CMN_M_032,HT1_S010,going,1,,42bc7968726d6b9bc8522357d33776ff,11,,,1.0550731,,,,1.0550731,,,,0.4782534,,,,0.4782534
Talker-specific,CMN_M_032,CMN_M_032,HT1_S010,too,1,,42bc7968726d6b9bc8522357d33776ff,11,,,0.7717824,,,,0.7717824,,,,0.7887214,,,,0.7887214
Talker-specific,CMN_M_032,CMN_M_032,HT1_S010,fast,1,,42bc7968726d6b9bc8522357d33776ff,11,,,1.1420547,,,,1.1420547,,,,0.56670934,,,,0.56670934
Talker-specific,CMN_M_032,CMN_M_032,HT1_S010,car,0,,b2a08929c28b0bc95a58d830f0de0c3d,8,,,0.9558878,,,,0.9558878,,,,0.8056617,,,,0.8056617
Talker-specific,CMN_M_032,CMN_M_032,HT1_S010,going,1,,b2a08929c28b0bc95a58d830f0de0c3d,8,,,1.0550731,,,,1.0550731,,,,0.4782534,,,,0.4782534
Talker-specific,CMN_M_032,CMN_M_032,HT1_S010,too,1,,b2a08929c28b0bc95a58d830f0de0c3d,8,,,0.7717824,,,,0.7717824,,,,0.7887214,,,,0.7887214
Talker-specific,CMN_M_032,CMN_M_032,HT1_S010,fast,1,,b2a08929c28b0bc95a58d830f0de0c3d,8,,,1.1420547,,,,1.1420547,,,,0.56670934,,,,0.56670934
Talker-specific,CMN_M_043,CMN_M_043,HT1_S010,car,1,,e54e1c72eab771be6c415a2ea3fb43f1,1,,,0.9398122,,,,0.9398122,,,,0.9325404,,,,0.9325404
Talker-specific,CMN_M_043,CMN_M_043,HT1_S010,going,1,,e54e1c72eab771be6c415a2ea3fb43f1,1,,,1.0604442,,,,1.0604442,,,,0.6410445,,,,0.6410445
Talker-specific,CMN_M_043,CMN_M_043,HT1_S010,too,1,,e54e1c72eab771be6c415a2ea3fb43f1,1,,,0.82992464,,,,0.82992464,,,,0.50137687,,,,0.50137687
Talker-specific,CMN_M_043,CMN_M_043,HT1_S010,fast,1,,e54e1c72eab771be6c415a2ea3fb43f1,1,,,1.1537743,,,,1.1537743,,,,0.5569854,,,,0.5569854
Single talker,CMN_M_021,CMN_M_043,HT1_S010,car,1,1.0535892248153687,e933e4127113efac6d17b9c8ee834f2d,12,1.0535892248153687,1.0535892248153687,0.92546225,1.0535892248153687,1.0535892248153687,1.0535892248153687,0.92546225,1.216465711593628,1.216465711593628,1.216465711593628,0.67443246,0.6744324564933777,0.6744324564933777,0.6744324564933777,0.67443246
Single talker,CMN_M_021,CMN_M_043,HT1_S010,going,1,1.2655751705169678,e933e4127113efac6d17b9c8ee834f2d,12,1.2655751705169678,1.2655751705169678,1.0634708,1.2655751705169678,1.2655751705169678,1.2655751705169678,1.0634708,1.2784161567687988,1.2784161567687988,1.2784161567687988,0.6918308,0.6918308138847351,0.6918308138847351,0.6918308138847351,0.6918308
Single talker,CMN_M_021,CMN_M_043,HT1_S010,too,1,0.9843416810035706,e933e4127113efac6d17b9c8ee834f2d,12,0.9843416810035706,0.9843416810035706,0.80542713,0.9843416810035706,0.9843416810035706,0.9843416810035706,0.80542713,1.027260661125183,1.027260661125183,1.027260661125183,0.6337053,0.6337053179740906,0.6337053179740906,0.6337053179740906,0.6337053
Single talker,CMN_M_021,CMN_M_043,HT1_S010,fast,1,1.3066236972808838,e933e4127113efac6d17b9c8ee834f2d,12,1.3066236972808838,1.3066236972808838,1.1623572,1.3066236972808838,1.3066236972808838,1.3066236972808838,1.1623572,1.0589056015014648,1.0589056015014648,1.0589056015014648,0.7713542,0.7713541984558105,0.7713541984558105,0.7713541984558105,0.7713542
Multi-talker,"CMN_M_021, CMN_M_016, CMN_M_043, CMN_M_037, CMN_M_032",CMN_M_035,HT1_S010,car,1,1.1072187423706055,69decdc1ca270e4f9655741cc96bb91b,4,1.1072187423706055,1.1072187423706055,0.9559555,1.0916688442230225,1.0916688442230225,1.0916688442230225,0.94040525,1.4060670137405396,1.4060670137405396,1.4060670137405396,0.9808173,0.7758277058601379,0.7758277058601379,0.7758277058601379,0.7758277
