Condition2,TrainingTalkerID,TestTalkerID,SentenceID,Keyword,xie21_HuBERT_T24_max_0_0_4.0_3.981_13.845_8311.014,IsCorrect,ParticipantID,Trial,TrainingTalkerID_sorted,UniqueExposureTestCombination,xie21_HuBERT_T24_max_1_0_8.0_3.162_13.199_8327.564,xie21_HuBERT_T24_max_0_1_4.0_3.388_15.878_10269.004,xie21_HuBERT_T24_max_1_1_4.0_1.905_14.967_10294.778,xie21_HuBERT_T24_mean_0_0_4.0_3.981_11.214_6162.445,xie21_HuBERT_T24_mean_1_0_4.0_3.16_9.603_6195.985,xie21_HuBERT_T24_mean_0_1_2.0_2.512_11.773_8124.613,xie21_HuBERT_T24_mean_1_1_8.0_1.585_10.277_8156.522,xie21_HuBERT_CNN7_max_0_0_0.5_0.196_6.307_8462.769,xie21_HuBERT_CNN7_max_1_0_0.5_0.016_5.409_8473.172,xie21_HuBERT_CNN7_max_0_1_0.5_0.2_10.215_10415.202,xie21_HuBERT_CNN7_max_1_1_0.5_0.1_9.858_10422.493,xie21_HuBERT_CNN7_mean_0_0_8.0_0.631_5.362_6259.394,xie21_HuBERT_CNN7_mean_1_0_0.5_0.016_3.176_6277.619,xie21_HuBERT_CNN7_mean_0_1_8.0_0.02_7.5_8206.049,xie21_HuBERT_CNN7_mean_1_1_0.5_0.01_6.405_8220.728
Talker-specific,CMN_M_032,CMN_M_032,HT1_S023,children,,0,e4a66d729a112d865f87377e9621633f,5,CMN_M_032,573,,,1.0,,,,1.0,,,,1.0,,,,1.0
Talker-specific,CMN_M_032,CMN_M_032,HT1_S023,waved,,1,e4a66d729a112d865f87377e9621633f,5,CMN_M_032,3165,,,1.0,,,,1.0,,,,1.0,,,,1.0
Talker-specific,CMN_M_032,CMN_M_032,HT1_S023,train,,1,e4a66d729a112d865f87377e9621633f,5,CMN_M_032,2909,,,1.0,,,,1.0,,,,1.0,,,,1.0
Single talker,CMN_M_021,CMN_M_037,HT1_S023,children,0.5109085396442025,1,9b849728861c286ccecb44634db6c0a3,13,CMN_M_021,559,0.6012093005207123,0.5646608133765084,0.7251627703406697,0.5109085396442025,0.5868017929377747,0.6122018812008135,0.7748779590031066,0.25916192337036137,0.8956292338687563,0.2529876095359761,0.5021131897697466,0.3943861755482795,0.8956292338687563,0.970940118955312,0.933426578718136
Single talker,CMN_M_021,CMN_M_037,HT1_S023,waved,0.07568706861808547,1,9b849728861c286ccecb44634db6c0a3,13,CMN_M_021,3151,0.14653186377046987,0.11117313861611097,0.29079444875293925,0.07568706861808547,0.12888446825558647,0.1536713750719231,0.38186593873674485,0.2443597506323836,0.8913396760594173,0.23828770346954298,0.48727063693409733,0.3904734439654135,0.8913396760594173,0.9706333254762183,0.9306299479452376
Single talker,CMN_M_021,CMN_M_037,HT1_S023,train,0.5905136604767014,1,9b849728861c286ccecb44634db6c0a3,13,CMN_M_021,2895,0.6723885923764813,0.6387147928354676,0.7771919119594721,0.5905136604767014,0.6582776388313928,0.6765572398608687,0.8195814198230779,0.25031919339713127,0.8930946374913429,0.244204113322138,0.493297893095419,0.251208550451802,0.8930946374913429,0.9571580543963801,0.9317747256592965
Control,"ENG_M_133, ENG_M_131, ENG_M_055, ENG_M_066, ENG_M_070",CMN_M_043,HT1_S023,children,,1,7811968eda64af95c51eaf5c790ee229,13,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",548,,,0.9108295110312559,,,,0.9024273116396072,,,,0.7160068855273405,,,,0.9406169334613855
Control,"ENG_M_133, ENG_M_131, ENG_M_055, ENG_M_066, ENG_M_070",CMN_M_043,HT1_S023,waved,,1,7811968eda64af95c51eaf5c790ee229,13,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",3140,,,0.8468547348968769,,,,0.6238285208610572,,,,0.5224439163341498,,,,0.9265495609033003
Control,"ENG_M_133, ENG_M_131, ENG_M_055, ENG_M_066, ENG_M_070",CMN_M_043,HT1_S023,train,,1,7811968eda64af95c51eaf5c790ee229,13,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",2884,,,0.6414665496942313,,,,0.6424156892952,,,,0.5655504924408482,,,,0.9334187938770814
Multi-talker,"CMN_M_032, CMN_M_016, CMN_M_021, CMN_M_043, CMN_M_037",CMN_M_035,HT1_S023,children,0.3998264277098861,1,7278c5967afab1d2842d5d17f637749d,10,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",551,0.48732596736865796,0.45832731685872247,0.6448910660603725,0.23380709937351632,0.30800330452484187,0.35490213383738517,0.546767950727338,0.5454180046412094,0.9517185366952007,0.5395456690036975,0.7339699865354146,0.5016339671246529,0.9219884041791845,0.9781953232545261,0.9504722471244899
Multi-talker,"CMN_M_032, CMN_M_016, CMN_M_021, CMN_M_043, CMN_M_037",CMN_M_035,HT1_S023,waved,0.5801672230859737,0,7278c5967afab1d2842d5d17f637749d,10,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",3143,0.6652944631109124,0.6291782869582768,0.7706457125958639,0.18400210857704938,0.23837724500083154,0.26695482432837364,0.455145674738629,0.45230117017257626,0.9372849635884511,0.4459381571129015,0.6671105547018618,0.4896082442365257,0.9085091952326498,0.9774449972125019,0.941750287992221
Multi-talker,"CMN_M_032, CMN_M_016, CMN_M_021, CMN_M_043, CMN_M_037",CMN_M_035,HT1_S023,train,0.26583291712732965,0,7278c5967afab1d2842d5d17f637749d,10,"CMN_M_016,CMN_M_021,CMN_M_032,CMN_M_037,CMN_M_043",2887,0.35962269622585463,0.32383040719806533,0.5304715113654263,0.1784631239066748,0.25167646926139087,0.291251472420222,0.5053346560343963,0.5991596768495424,0.9590477050709373,0.5937042036474617,0.7700187763184799,0.5051962332186977,0.9258175712791787,0.9779466701529133,0.9529026563309001
Multi-talker,"CMN_M_035, CMN_M_043, CMN_M_016, CMN_M_021, CMN_M_037",CMN_M_032,HT1_S023,children,0.05684718147149402,1,1a92fbb6fbd90440fc98201479c51aa1,3,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",552,0.1125907803557754,0.08713736855894956,0.2535710122365197,0.028311106927804273,0.0578025601544381,0.0777107045201267,0.2459584455050706,0.5454180046412094,0.9517185366952007,0.5395456690036975,0.7339699865354146,0.46625054894710677,0.9172714996472869,0.9755828678894638,0.9474128103173847
Multi-talker,"CMN_M_035, CMN_M_043, CMN_M_016, CMN_M_021, CMN_M_037",CMN_M_032,HT1_S023,waved,0.5801672230859737,1,1a92fbb6fbd90440fc98201479c51aa1,3,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",3144,0.6652944631109124,0.6291782869582768,0.7706457125958639,0.17528593006097642,0.22630083310659418,0.257593632139644,0.43395580771444314,0.27346121238958365,0.8995644929301895,0.26720236737407677,0.51606202899915,0.39555324342795206,0.8935029979308314,0.9709670210137752,0.9320387803323772
Multi-talker,"CMN_M_035, CMN_M_043, CMN_M_016, CMN_M_021, CMN_M_037",CMN_M_032,HT1_S023,train,0.6319603718132137,1,1a92fbb6fbd90440fc98201479c51aa1,3,"CMN_M_016,CMN_M_021,CMN_M_035,CMN_M_037,CMN_M_043",2888,0.7101456263407052,0.6766726102397408,0.8028335447577966,0.4739386873866813,0.5442866921629252,0.5649961033354108,0.7346653701367318,0.5335709200137124,0.9500139261448041,0.5276191907728679,0.7257922434046284,0.470647966553433,0.9204746335878363,0.9749648566277977,0.9494725080776595
Talker-specific,CMN_M_035,CMN_M_035,HT1_S023,children,,1,297e8ab96c4a7360619e74b2123d2abb,10,CMN_M_035,574,,,1.0,,,,1.0,,,,1.0,,,,1.0
